xflr5 v6.61

Plane name :, 2412 wing
Polar name :, T1-10.0 m/s-Panel-Inviscid
Freestream speed :, 10.0 m/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
   -8.000,     0.000,  -0.349054,   0.011822,   0.000000,   0.011822,   0.000000,  -0.000000,   0.338440,  -0.000000,  -0.000000,   10.0000,    0.1384
   -7.500,     0.000,  -0.319555,   0.009907,   0.000000,   0.009907,   0.000000,  -0.000000,   0.293333,  -0.000000,  -0.000000,   10.0000,    0.1307
   -7.000,     0.000,  -0.289977,   0.008156,   0.000000,   0.008156,   0.000000,  -0.000000,   0.248057,  -0.000000,  -0.000000,   10.0000,    0.1213
   -6.500,     0.000,  -0.260326,   0.006573,   0.000000,   0.006573,   0.000000,  -0.000000,   0.202625,  -0.000000,  -0.000000,   10.0000,    0.1097
   -6.000,     0.000,  -0.230610,   0.005157,   0.000000,   0.005157,   0.000000,  -0.000000,   0.157051,  -0.000000,  -0.000000,   10.0000,    0.0951
   -5.500,     0.000,  -0.200835,   0.003911,   0.000000,   0.003911,   0.000000,  -0.000000,   0.111350,  -0.000000,  -0.000000,   10.0000,    0.0761
   -5.000,     0.000,  -0.171008,   0.002836,   0.000000,   0.002836,   0.000000,  -0.000000,   0.065534,  -0.000000,  -0.000000,   10.0000,    0.0503
   -4.500,     0.000,  -0.141136,   0.001932,   0.000000,   0.001932,   0.000000,  -0.000000,   0.019619,  -0.000000,  -0.000000,   10.0000,    0.0136
   -4.000,     0.000,  -0.111224,   0.001200,   0.000000,   0.001200,   0.000000,  -0.000000,  -0.026383,  -0.000000,  -0.000000,   10.0000,   -0.0430
   -3.500,     0.000,  -0.081281,   0.000642,   0.000000,   0.000642,   0.000000,  -0.000000,  -0.072457,  -0.000000,  -0.000000,   10.0000,   -0.1413
   -3.000,     0.000,  -0.051312,   0.000257,   0.000000,   0.000257,   0.000000,  -0.000000,  -0.118588,  -0.000000,  -0.000000,   10.0000,   -0.3548
   -2.500,     0.000,  -0.021326,   0.000046,   0.000000,   0.000046,   0.000000,  -0.000000,  -0.164764,  -0.000000,  -0.000000,   10.0000,   -1.1690
   -2.000,     0.000,   0.008672,   0.000010,   0.000000,   0.000010,   0.000000,  -0.000000,  -0.210969,  -0.000000,  -0.000000,   10.0000,    3.6504
   -1.500,     0.000,   0.038675,   0.000148,   0.000000,   0.000148,   0.000000,  -0.000000,  -0.257191,   0.000000,   0.000000,   10.0000,    0.9925
   -1.000,     0.000,   0.068675,   0.000462,   0.000000,   0.000462,   0.000000,  -0.000000,  -0.303414,   0.000000,   0.000000,   10.0000,    0.6568
   -0.500,     0.000,   0.098666,   0.000950,   0.000000,   0.000950,   0.000000,  -0.000000,  -0.349624,   0.000000,   0.000000,   10.0000,    0.5253
    0.000,     0.000,   0.128641,   0.001612,   0.000000,   0.001612,   0.000000,  -0.000000,  -0.395809,   0.000000,   0.000000,   10.0000,    0.4551
    0.500,     0.000,   0.158594,   0.002449,   0.000000,   0.002449,   0.000000,  -0.000000,  -0.441952,   0.000000,   0.000000,   10.0000,    0.4114
    1.000,     0.000,   0.188516,   0.003459,   0.000000,   0.003459,   0.000000,   0.000000,  -0.488042,   0.000000,   0.000000,   10.0000,    0.3816
    1.500,     0.000,   0.218402,   0.004642,   0.000000,   0.004642,   0.000000,   0.000000,  -0.534062,   0.000000,   0.000000,   10.0000,    0.3599
    2.000,     0.000,   0.248245,   0.005998,   0.000000,   0.005998,   0.000000,   0.000000,  -0.580000,  -0.000000,  -0.000000,   10.0000,    0.3435
    2.500,     0.000,   0.278037,   0.007525,   0.000000,   0.007525,   0.000000,   0.000000,  -0.625842,  -0.000000,  -0.000000,   10.0000,    0.3305
    3.000,     0.000,   0.307773,   0.009223,   0.000000,   0.009223,   0.000000,   0.000000,  -0.671573,  -0.000000,  -0.000000,   10.0000,    0.3201
